index,name,code,post,address,call,longitude,latitude,Middle,Major
0,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,내과,내과
1,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,신경과,신경과
2,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,정신건강의학과,정신과
3,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,외과,외과
4,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,정형외과,정형외과
5,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,신경외과,신경과
6,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,마취통증의학과,정형외과
7,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,산부인과,산부인과
8,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,소아청소년과,소아청소년과
9,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,이비인후과,이비인후과
10,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,비뇨의학과,비뇨의학과
11,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,영상의학과,종합병원
12,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,진단검사의학과,종합병원
13,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,재활의학과,정형외과
14,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,가정의학과,가정의학과
15,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,응급의학과,응급의학과
16,녹색병원,종합병원,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",02-490-2000,127.0860738,37.5835731,직업환경의학과,종합병원
17,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,내과,내과
18,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,신경과,신경과
19,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,정신건강의학과,정신과
20,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,외과,외과
21,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,정형외과,정형외과
22,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,신경외과,신경과
23,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,심장혈관흉부외과,외과
24,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,성형외과,성형외과
25,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,마취통증의학과,정형외과
26,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,산부인과,산부인과
27,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,소아청소년과,소아청소년과
28,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,안과,안과
29,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,이비인후과,이비인후과
30,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,피부과,피부과
31,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,비뇨의학과,비뇨의학과
32,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,영상의학과,종합병원
33,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,병리과,종합병원
34,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,진단검사의학과,종합병원
35,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,재활의학과,정형외과
36,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,핵의학과,종합병원
37,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,가정의학과,가정의학과
38,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,응급의학과,응급의학과
39,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,직업환경의학과,종합병원
40,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,구강악안면외과,치과
41,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,치과보철과,치과
42,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,치과보존과,치과
43,서울특별시서울의료원,종합병원,2053,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,127.0978309,37.6132762,침구과,한의과
44,의료법인풍산의료재단동부제일병원,종합병원,2063,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",02-437-5011,127.1090094,37.6007085,내과,내과
45,의료법인풍산의료재단동부제일병원,종합병원,2063,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",02-437-5011,127.1090094,37.6007085,신경과,신경과
46,의료법인풍산의료재단동부제일병원,종합병원,2063,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",02-437-5011,127.1090094,37.6007085,외과,외과
